Nasdaq-composite 3x, 1971-2025
Date, Close-price
1972-07-06,221.538457
1972-07-07,219.723945
1972-07-10,216.465682
1972-07-11,214.579775
1972-07-12,212.803534
1972-07-13,207.504299
1972-07-14,209.192895
1972-07-17,204.439246
1972-07-18,200.331354
1972-07-19,201.415161
1972-07-20,198.199328
1972-07-21,200.725750
1972-07-24,206.104438
1972-07-25,204.663932
1972-07-26,205.524199
1972-07-27,204.134335
1972-07-28,203.132429
1972-07-31,201.230292
1972-08-01,204.538187
1972-08-02,209.028632
1972-08-03,213.487393
1972-08-04,216.583787
1972-08-07,216.732653
1972-08-08,214.945441
1972-08-09,215.636636
1972-08-10,216.081928
1972-08-11,220.243702
1972-08-14,220.344056
1972-08-15,219.239826
1972-08-16,219.139777
1972-08-17,216.289260
1972-08-18,218.966230
1972-08-21,218.266497
1972-08-22,218.266497
1972-08-23,217.318886
1972-08-24,213.837805
1972-08-25,213.395043
1972-08-28,210.742139
1972-08-29,209.134412
1972-08-30,210.782412
1972-08-31,211.610729
1972-09-01,215.274632
1972-09-05,213.446362
1972-09-06,210.007113
1972-09-07,207.965849
1972-09-08,207.579565
1972-09-11,203.383928
1972-09-12,198.246208
1972-09-13,199.789405
1972-09-14,200.118444
1972-09-15,200.541958
1972-09-18,200.259217
1972-09-19,199.364712
1972-09-20,199.787162
1972-09-21,198.800055
1972-09-22,199.549655
1972-09-25,196.543729
1972-09-26,197.706068
1972-09-27,204.614189
1972-09-28,207.383762
1972-09-29,209.696413
1972-10-02,208.191763
1972-10-03,209.061242
1972-10-04,208.140907
1972-10-05,201.958982
1972-10-06,202.526947
1972-10-09,204.328873
1972-10-10,206.761549
1972-10-11,204.598101
1972-10-12,201.256295
1972-10-13,198.045511
1972-10-16,191.879459
1972-10-17,194.440494
1972-10-18,197.301044
1972-10-19,196.648809
1972-10-20,201.715719
1972-10-23,204.836009
1972-10-24,206.030064
1972-10-25,205.934169
1972-10-26,208.234931
1972-10-27,209.007542
1972-10-30,208.668690
1972-10-31,212.440393
1972-11-01,219.046533
1972-11-02,221.693268
1972-11-03,227.834635
1972-11-06,229.064881
1972-11-08,226.389771
1972-11-09,225.164754
1972-11-10,226.690491
1972-11-13,224.902442
1972-11-14,225.563073
1972-11-15,223.271800
1972-11-16,224.131510
1972-11-17,222.661186
1972-11-20,221.601135
1972-11-21,221.953362
1972-11-22,223.464505
1972-11-24,226.146282
1972-11-27,223.851157
1972-11-28,224.560348
1972-11-29,224.661875
1972-11-30,225.829785
1972-12-01,230.823314
1972-12-04,231.857314
1972-12-05,232.583273
1972-12-06,234.661765
1972-12-07,236.648061
1972-12-08,237.121147
1972-12-11,235.436824
1972-12-12,232.503249
1972-12-13,229.334403
1972-12-14,227.635757
1972-12-15,228.660143
1972-12-18,223.574240
1972-12-19,222.815161
1972-12-20,220.492592
1972-12-21,216.230816
1972-12-22,217.220582
1972-12-26,216.724191
1972-12-27,220.441445
1972-12-29,229.464289
1973-01-02,234.097158
1973-01-03,238.009500
1973-01-04,238.325955
1973-01-05,240.807051
1973-01-08,241.391749
1973-01-09,241.232028
1973-01-10,241.604546
1973-01-11,245.759732
1973-01-12,241.287782
1973-01-15,233.783574
1973-01-16,230.813515
1973-01-17,231.020168
1973-01-18,232.415904
1973-01-19,229.976523
1973-01-22,226.265839
1973-01-23,222.646265
1973-01-24,212.811769
1973-01-26,209.240171
1973-01-29,202.951356
1973-01-30,201.813843
1973-01-31,202.663784
1973-02-01,195.750487
1973-02-02,193.622429
1973-02-05,191.417999
1973-02-06,192.648543
1973-02-07,186.789904
1973-02-08,182.216921
1973-02-09,190.550953
1973-02-12,195.183766
1973-02-13,196.614417
1973-02-14,188.406047
1973-02-15,183.944510
1973-02-16,184.476697
1973-02-20,186.520678
1973-02-21,181.775971
1973-02-22,180.588085
1973-02-23,174.718388
1973-02-26,170.134066
1973-02-27,163.947117
1973-02-28,166.451485
1973-03-01,162.802021
1973-03-02,165.171932
1973-03-05,166.987160
1973-03-06,172.638820
1973-03-07,174.210710
1973-03-08,173.484119
1973-03-09,172.972660
1973-03-12,172.419669
1973-03-13,173.395950
1973-03-14,173.438557
1973-03-15,171.307862
1973-03-16,169.701851
1973-03-19,164.326046
1973-03-20,161.531106
1973-03-21,155.964337
1973-03-22,147.232768
1973-03-23,146.392820
1973-03-26,146.659058
1973-03-27,151.799868
1973-03-28,152.773859
1973-03-29,156.882086
1973-03-30,153.975142
1973-04-02,147.407668
1973-04-03,142.366349
1973-04-04,136.471210
1973-04-05,133.316016
1973-04-06,137.778925
1973-04-09,140.479280
1973-04-10,143.436479
1973-04-11,145.235526
1973-04-12,146.369292
1973-04-13,144.963722
1973-04-16,142.434846
1973-04-17,139.040283
1973-04-18,139.297222
1973-04-19,140.914250
1973-04-23,136.729412
1973-04-24,130.232890
1973-04-25,123.699585
1973-04-26,124.887155
1973-04-27,120.379744
1973-04-30,118.547395
1973-05-01,118.910127
1973-05-02,122.511796
1973-05-03,125.073253
1973-05-04,128.763603
1973-05-07,127.335348
1973-05-08,127.992309
1973-05-09,127.541266
1973-05-10,126.779756
1973-05-11,122.573684
1973-05-14,113.675576
1973-05-15,112.650510
1973-05-16,112.523149
1973-05-17,109.627879
1973-05-18,102.436773
1973-05-21,96.074921
1973-05-22,98.449143
1973-05-23,99.902767
1973-05-24,106.302651
1973-05-25,109.055285
1973-05-29,108.059819
1973-05-30,102.927365
1973-05-31,101.281564
1973-06-01,100.275064
1973-06-04,95.775919
1973-06-05,98.456162
1973-06-06,98.427121
1973-06-07,100.953127
1973-06-08,104.348743
1973-06-11,102.296376
1973-06-12,107.508488
1973-06-13,106.092688
1973-06-14,103.743659
1973-06-15,99.836743
1973-06-18,95.472669
1973-06-19,96.012705
1973-06-20,96.668893
1973-06-21,94.404783
1973-06-22,96.069090
1973-06-25,91.617131
1973-06-26,93.082195
1973-06-27,93.808526
1973-06-28,96.448120
1973-06-29,95.933272
1973-07-02,93.567716
1973-07-03,91.605737
1973-07-05,91.439935
1973-07-06,91.688338
1973-07-09,93.153803
1973-07-10,96.423174
1973-07-11,100.740203
1973-07-12,102.152862
1973-07-13,101.737002
1973-07-16,104.521612
1973-07-17,106.542276
1973-07-18,109.993904
1973-07-19,112.333757
1973-07-20,116.003692
1973-07-23,116.229925
1973-07-24,117.977419
1973-07-25,120.918956
1973-07-26,120.852511
1973-07-27,121.483508
1973-07-30,119.883871
1973-07-31,119.091105
1973-08-01,114.125322
1973-08-02,113.645938
1973-08-03,113.136029
1973-08-06,114.375208
1973-08-07,114.663253
1973-08-08,110.912387
1973-08-09,110.975090
1973-08-10,108.371906
1973-08-13,105.377582
1973-08-14,103.075130
