SP-500 2x, 1927-2025
Date,Close
1929-09-05,51.929814
1929-09-06,54.641814
1929-09-09,54.092478
1929-09-10,52.145355
1929-09-11,53.587317
1929-09-12,52.363628
1929-09-13,53.069198
1929-09-16,54.692735
1929-09-17,53.800072
1929-09-18,54.072477
1929-09-19,54.243158
1929-09-20,53.080682
1929-09-23,53.046861
1929-09-24,51.085919
1929-09-25,51.251786
1929-09-26,52.182123
1929-09-27,49.298951
1929-09-30,48.940649
1929-10-01,48.356475
1929-10-02,49.066181
1929-10-03,45.004411
1929-10-04,44.071673
1929-10-07,49.578713
1929-10-08,49.252964
1929-10-09,49.025694
1929-10-10,50.774873
1929-10-11,50.610076
1929-10-14,49.919037
1929-10-15,49.102032
1929-10-16,45.666512
1929-10-17,47.072118
1929-10-18,44.376846
1929-10-21,40.960873
1929-10-22,42.556179
1929-10-23,37.528317
1929-10-24,35.129890
1929-10-25,36.139450
1929-10-28,26.786359
1929-10-29,21.344276
1929-10-30,26.693404
1929-10-31,29.387127
1929-11-04,26.296305
1929-11-06,21.078423
1929-11-07,22.632970
1929-11-08,22.230511
1929-11-11,19.459569
1929-11-12,17.245135
1929-11-13,15.274789
1929-11-14,18.007990
1929-11-15,19.992238
1929-11-18,19.578607
1929-11-19,20.767553
1929-11-20,21.911273
1929-11-21,22.611774
1929-11-22,22.444357
1929-11-25,21.923123
1929-11-26,20.645646
1929-11-27,21.165285
1929-12-02,21.225990
1929-12-03,22.644431
1929-12-04,23.481176
1929-12-05,23.097813
1929-12-06,24.322937
1929-12-09,24.214592
1929-12-10,24.582135
1929-12-11,24.168256
1929-12-12,21.554890
1929-12-13,22.634163
1929-12-16,21.862305
1929-12-17,22.333784
1929-12-18,22.043736
1929-12-19,20.870541
1929-12-20,19.489180
1929-12-23,19.682526
1929-12-24,19.935113
1929-12-26,20.815036
1929-12-27,20.775083
1929-12-30,20.914781
1929-12-31,22.036112
1930-01-02,21.481356
1930-01-03,21.582777
1930-01-06,22.131751
1930-01-07,21.740584
1930-01-08,21.699779
1930-01-09,22.372482
1930-01-10,22.227606
1930-01-13,22.165722
1930-01-14,22.248121
1930-01-15,22.433866
1930-01-16,22.123005
1930-01-17,21.731993
1930-01-20,22.119519
1930-01-21,22.345859
1930-01-22,22.387218
1930-01-23,22.821924
1930-01-24,23.239909
1930-01-27,23.598416
1930-01-28,23.364665
1930-01-29,23.893278
1930-01-30,24.149848
1930-01-31,24.837697
1930-02-03,24.728710
1930-02-04,25.315936
1930-02-05,25.976063
1930-02-06,25.418876
1930-02-07,25.220463
1930-02-10,25.549858
1930-02-11,25.991895
1930-02-13,26.081063
1930-02-14,26.058733
1930-02-17,25.857851
1930-02-18,25.902320
1930-02-19,25.435008
1930-02-20,24.486845
1930-02-21,25.092528
1930-02-24,24.567030
1930-02-25,25.021973
1930-02-26,25.502958
1930-02-27,25.436743
1930-02-28,25.877590
1930-03-03,26.055443
1930-03-04,26.456983
1930-03-05,26.052372
1930-03-06,26.565389
1930-03-07,26.565389
1930-03-10,26.745569
1930-03-11,26.858561
1930-03-12,26.269756
1930-03-13,26.583294
1930-03-14,26.245371
1930-03-17,26.737820
1930-03-18,27.257439
1930-03-19,27.553966
1930-03-20,27.806225
1930-03-21,28.151791
1930-03-24,28.128611
1930-03-25,28.059098
1930-03-26,28.915337
1930-03-27,28.797888
1930-03-28,29.454251
1930-03-31,27.794855
1930-04-01,30.603117
1930-04-02,29.975855
1930-04-03,30.095231
1930-04-04,31.004310
1930-04-07,31.149983
1930-04-08,30.809277
1930-04-09,31.801568
1930-04-10,31.924494
1930-04-11,31.727430
1930-04-14,31.457303
1930-04-15,31.481755
1930-04-16,31.041450
1930-04-17,31.502944
1930-04-21,30.377404
1930-04-22,30.881890
1930-04-23,31.002994
1930-04-24,30.517627
1930-04-25,30.445394
1930-04-28,29.098680
1930-04-29,29.028165
1930-04-30,29.427258
1930-05-01,28.009076
1930-05-02,26.326227
1930-05-05,25.008240
1930-05-06,26.705929
1930-05-07,25.694339
1930-05-08,25.892751
1930-05-09,26.534539
1930-05-12,27.430597
1930-05-13,28.182120
1930-05-14,28.528337
1930-05-15,27.599454
1930-05-16,27.850671
1930-05-19,26.634784
1930-05-20,26.881507
1930-05-21,26.611113
1930-05-22,26.723210
1930-05-23,27.262391
1930-05-26,27.716194
1930-05-27,27.739073
1930-05-28,28.059490
1930-05-29,28.312694
1930-06-02,28.104597
1930-06-03,27.597794
1930-06-04,27.848892
1930-06-05,26.977537
1930-06-06,26.097468
1930-06-09,23.567609
1930-06-10,24.894474
1930-06-11,23.141800
1930-06-12,22.995858
1930-06-13,23.266033
1930-06-16,19.712369
1930-06-17,19.750721
1930-06-18,18.368748
1930-06-19,20.089084
1930-06-20,19.045494
1930-06-23,18.744528
1930-06-24,17.438288
1930-06-25,17.708094
1930-06-26,18.541841
1930-06-27,18.189545
1930-06-30,19.383204
1930-07-01,18.966362
1930-07-02,19.378673
1930-07-03,18.980872
1930-07-07,18.193517
1930-07-08,18.450409
1930-07-09,18.986277
1930-07-10,19.942151
1930-07-11,19.519686
1930-07-14,21.058467
1930-07-15,20.979594
1930-07-16,21.294485
1930-07-17,21.492758
1930-07-18,21.871223
1930-07-21,20.203505
1930-07-22,20.936773
1930-07-23,21.604550
1930-07-24,21.045982
1930-07-25,21.282234
1930-07-28,21.915751
1930-07-29,21.574259
1930-07-30,20.438248
1930-07-31,20.690331
1930-08-01,20.495234
1930-08-04,21.291354
1930-08-05,21.291354
1930-08-06,20.618578
1930-08-07,20.384938
1930-08-08,18.855586
1930-08-11,19.097442
1930-08-12,18.123846
1930-08-13,18.616145
1930-08-14,18.634623
1930-08-15,19.632908
1930-08-18,19.329404
1930-08-19,19.705826
1930-08-20,19.914858
1930-08-21,19.513693
1930-08-22,19.797325
1930-08-25,19.587829
1930-08-26,20.156139
1930-08-27,20.463573
1930-08-28,20.444213
1930-08-29,20.908637
1930-09-02,20.928202
1930-09-03,20.517079
1930-09-04,20.226332
1930-09-05,20.842167
1930-09-08,21.408634
1930-09-09,21.665976
1930-09-10,21.865112
1930-09-11,21.585044
1930-09-12,21.147779
1930-09-15,20.537937
1930-09-16,20.596089
1930-09-17,20.731976
1930-09-18,20.284030
1930-09-19,19.552034
1930-09-22,18.587668
1930-09-23,19.085306
1930-09-24,18.469049
1930-09-25,17.771062
1930-09-26,17.230636
1930-09-29,16.255147
1930-09-30,15.755785
1930-10-01,17.162703
1930-10-02,16.738497
1930-10-03,17.157395
1930-10-06,15.726141
1930-10-07,15.743042
1930-10-08,15.371024
1930-10-09,14.151367
1930-10-10,14.856133
1930-10-14,14.528001
1930-10-15,14.998479
1930-10-16,14.471058
1930-10-17,13.305604
1930-10-20,13.941420
1930-10-21,13.116201
1930-10-22,12.885418
1930-10-23,13.251394
1930-10-24,14.179147
1930-10-27,14.243091
1930-10-28,14.371262
1930-10-29,13.872370
1930-10-30,13.540383
1930-10-31,12.915683
1930-11-03,13.205407
1930-11-05,12.419098
1930-11-06,12.463930
1930-11-07,11.625517
1930-11-10,10.830733
1930-11-11,11.179212
1930-11-12,11.674806
1930-11-13,12.282417
1930-11-14,12.771934
1930-11-17,12.151864
1930-11-18,12.417318
1930-11-19,12.939054
1930-11-20,12.832560
1930-11-21,13.226476
1930-11-24,12.995780
1930-11-25,12.690895
1930-11-26,12.329374
1930-11-28,11.987921
1930-12-01,12.602686
1930-12-02,12.842737
1930-12-03,12.403541
1930-12-04,12.031509
1930-12-05,12.046164
1930-12-08,11.371638
1930-12-09,11.385878
1930-12-10,11.029624
1930-12-11,10.777198
1930-12-12,10.610862
1930-12-15,9.936938
1930-12-16,9.271815
1930-12-17,10.132219
1930-12-18,10.279743
1930-12-19,10.509383
