SP500 1927-DANES,LEVERAGE 3.0x
Date,Close,Change (%)
1930-01-21,19.22537726766382,1.53%
1930-01-22,19.277285786286512,0.27%
1930-01-23,19.838254802667446,2.91%
1930-01-24,20.38579063522107,2.76%
1930-01-27,20.856702398894676,2.31%
1930-01-28,20.543851862911254,-1.50%
1930-01-29,21.240288441063946,3.39%
1930-01-30,21.584381113809183,1.62%
1930-01-31,22.503875749257453,4.26%
1930-02-03,22.355350169312352,-0.66%
1930-02-04,23.153436170356805,3.57%
1930-02-05,24.056420181000718,3.90%
1930-02-06,23.284209093190594,-3.21%
1930-02-07,23.011783846800263,-1.17%
1930-02-10,23.46051363181287,1.95%
1930-02-11,24.072833037603186,2.61%
1930-02-13,24.195604486094965,0.51%
1930-02-14,24.166569760711653,-0.12%
1930-02-17,23.883820894511324,-1.17%
1930-02-18,23.9483072109265,0.27%
1930-02-19,23.301702916231484,-2.70%
1930-02-20,22.00146789350577,-5.58%
1930-02-21,22.81992249914418,3.72%
1930-02-24,22.101094940421138,-3.15%
1930-02-25,22.71771548925889,2.79%
1930-02-26,23.371985695349544,2.88%
1930-02-27,23.28083495113768,-0.39%
1930-02-28,23.888464743362373,2.61%
1930-03-03,24.13212708374467,1.02%
1930-03-04,24.68957921937917,2.31%
1930-03-05,24.126656813177323,-2.28%
1930-03-06,24.83598052348474,2.94%
1930-03-07,24.83598052348474,0.00%
1930-03-10,25.08930752482428,1.02%
1930-03-11,25.247370162230673,0.63%
1930-03-12,24.414206946877062,-3.30%
1930-03-13,24.85366267192085,1.80%
1930-03-14,24.37647234861997,-1.92%
1930-03-17,25.063888868851052,2.82%
1930-03-18,25.793248034934614,2.91%
1930-03-19,26.211098653100553,1.62%
1930-03-20,26.57281181451334,1.38%
1930-03-21,27.067066114263287,1.86%
1930-03-24,27.034585634926174,-0.12%
1930-03-25,26.93726112664044,-0.36%
1930-03-26,28.173681412353236,4.59%
1930-03-27,28.00463932387912,-0.60%
1930-03-28,28.962397988755786,3.42%
1930-03-31,26.512179118907046,-8.46%
1930-04-01,30.528774255421464,15.15%
1930-04-02,29.59459376320557,-3.06%
1930-04-03,29.772161325784804,0.60%
1930-04-04,31.120840233842852,4.53%
1930-04-07,31.335574031456364,0.69%
1930-04-08,30.818537059937334,-1.65%
1930-04-09,32.30707239993231,4.83%
1930-04-10,32.49122271261192,0.57%
1930-04-11,32.18905434138463,-0.93%
1930-04-14,31.77381554038077,-1.29%
1930-04-15,31.81194411902923,0.12%
1930-04-16,31.14389329252962,-2.10%
1930-04-17,31.835287723623775,2.22%
1930-04-21,30.12573277286518,-5.37%
1930-04-22,30.875863518909522,2.49%
1930-04-23,31.06111870002298,0.60%
1930-04-24,30.334288522442442,-2.34%
1930-04-25,30.22508508376165,-0.36%
1930-04-28,28.22116194270825,-6.63%
1930-04-29,28.119565759714497,-0.36%
1930-04-30,28.701640770940585,2.07%
1930-05-01,26.62651214320158,-7.23%
1930-05-02,24.230126050313437,-9.00%
1930-05-05,22.41286659653993,-7.50%
1930-05-06,24.69225512940804,10.17%
1930-05-07,23.292204263570603,-5.67%
1930-05-08,23.56472305345438,1.17%
1930-05-09,24.44133075104288,3.72%
1930-05-12,25.680506220120755,5.07%
1930-05-13,26.735975025767715,4.11%
1930-05-14,27.225243368739264,1.83%
1930-05-15,25.893928968007916,-4.89%
1930-05-16,26.251265187766425,1.38%
1930-05-19,24.5344324444865,-6.54%
1930-05-20,24.873007612220416,1.38%
1930-05-21,24.49991249803711,-1.50%
1930-05-22,24.654261946774742,0.63%
1930-05-23,25.401286083762017,3.03%
1930-05-26,26.033778107247688,2.49%
1930-05-27,26.065018640976387,0.12%
1930-05-28,26.518549965329377,1.74%
1930-05-29,26.876550389861325,1.35%
1930-06-02,26.578220680533864,-1.11%
1930-06-03,25.860608722159448,-2.70%
1930-06-04,26.209726939908602,1.35%
1930-06-05,24.98311171912088,-4.68%
1930-06-06,23.76143755605587,-4.89%
1930-06-09,20.304148391649743,-14.55%
1930-06-10,22.02187934558331,8.46%
1930-06-11,19.69636888668971,-10.56%
1930-06-12,19.50728374537749,-0.96%
1930-06-13,19.85256266767067,1.77%
1930-06-16,15.302355304240555,-22.92%
1930-06-17,15.348262370153275,0.30%
1930-06-18,13.736694821287182,-10.50%
1930-06-19,15.665326774195904,14.04%
1930-06-20,14.443431285808623,-7.80%
1930-06-23,14.101121964334958,-2.37%
1930-06-24,12.628964831258388,-10.44%
1930-06-25,12.920693918860456,2.31%
1930-06-26,13.831602840140118,7.05%
1930-06-27,13.437402159196125,-2.85%
