NASDAQ100,LEVERAGE 3.0x,1986-2025
Date,Close-Price,Change (%)
1986-12-05,179.5984418025423,-1.89%
1986-12-08,175.23419966674052,-2.43%
1986-12-09,171.76456251333906,-1.98%
1986-12-10,172.07373872586308,0.18%
1986-12-11,168.97641142879755,-1.80%
1986-12-12,165.17444217164962,-2.25%
1986-12-15,162.05264521460543,-1.89%
1986-12-16,163.4625032279725,0.87%
1986-12-17,158.5586281311333,-3.00%
1986-12-18,157.9402494814219,-0.39%
1986-12-19,160.9727022714652,1.92%
1986-12-22,162.03512210645687,0.66%
1986-12-23,157.7087843462145,-2.67%
1986-12-24,157.66147171091063,-0.03%
1986-12-26,158.18175456755665,0.33%
1986-12-29,158.18175456755665,0.00%
1986-12-30,153.48375645690024,-2.97%
1986-12-31,153.11539544140368,-0.24%
1987-01-02,157.84666116054305,3.09%
1987-01-05,172.90523263525884,9.54%
1987-01-06,178.71484845180356,3.36%
1987-01-07,192.76183554011533,7.86%
1987-01-08,203.05531755795747,5.34%
1987-01-09,208.1113949651506,2.49%
1987-01-12,217.35154090160327,4.44%
1987-01-13,218.5904446847424,0.57%
1987-01-14,231.0501000317727,5.70%
1987-01-15,237.42708279264966,2.76%
1987-01-16,230.30427030887017,-3.00%
1987-01-19,247.0934516143868,7.29%
1987-01-20,247.38996375632408,0.12%
1987-01-21,237.29645323506608,-4.08%
1987-01-22,253.2427748924625,6.72%
1987-01-23,247.9246766197208,-2.10%
1987-01-26,236.24742435093194,-4.71%
1987-01-27,247.162055355945,4.62%
1987-01-28,251.46267511913845,1.74%
1987-01-29,242.93809043259964,-3.39%
1987-01-30,247.09233177899708,1.71%
1987-02-02,263.25217027734345,6.54%
1987-02-03,269.01739280641726,2.19%
1987-02-04,278.13708242255484,3.39%
1987-02-05,283.5607555297947,1.95%
1987-02-06,283.5607555297947,0.00%
1987-02-09,278.7118666102352,-1.71%
1987-02-10,272.4408496115049,-2.25%
1987-02-11,289.76808764679663,6.36%
1987-02-12,291.15897446750125,0.48%
1987-02-13,305.04725754960106,4.77%
1987-02-17,328.4748869294104,7.68%
1987-02-18,315.3687389409269,-3.99%
1987-02-19,308.3675529364383,-2.22%
1987-02-20,302.2618753882968,-1.98%
1987-02-23,297.27455444438993,-1.65%
1987-02-24,303.4281377213888,2.07%
1987-02-25,313.7143515901439,3.39%
1987-02-26,320.0200100571058,2.01%
1987-02-27,322.99619615063693,0.93%
1987-03-02,314.08150113687935,-2.76%
1987-03-03,311.4432165273296,-0.84%
1987-03-04,325.5515942360176,4.53%
1987-03-05,332.97417058459877,2.28%
1987-03-06,330.8764333099158,-0.63%
1987-03-09,321.14866617060426,-2.94%
1987-03-10,331.7465721542342,3.30%
1987-03-11,336.3246748499626,1.38%
1987-03-12,333.3986501787679,-0.87%
1987-03-13,324.69694540910206,-2.61%
1987-03-16,322.4565364857792,-0.69%
1987-03-17,339.1920307293912,5.19%
1987-03-18,340.0060916031417,0.24%
1987-03-19,350.5122798336788,3.09%
1987-03-20,360.9224945447391,2.97%
1987-03-23,358.5404060807438,-0.66%
1987-03-24,362.950453075537,1.23%
1987-03-25,363.05933821145965,0.03%
1987-03-26,366.00011885097246,0.81%
1987-03-27,356.4475157489621,-2.61%
1987-03-30,326.93366144494803,-8.28%
1987-03-31,338.70327325696616,3.60%
1987-04-01,338.9064952209203,0.06%
1987-04-02,347.5486108490538,2.55%
1987-04-03,368.08873375023285,5.91%
1987-04-06,365.43849486723116,-0.72%
1987-04-07,345.4855530474803,-5.46%
1987-04-08,355.6428283070763,2.94%
1987-04-09,352.5487357008047,-0.87%
1987-04-10,350.0103848037589,-0.72%
1987-04-13,325.75466513685836,-6.93%
1987-04-14,303.3753196419562,-6.87%
1987-04-15,317.20923421762944,4.56%
1987-04-16,323.965790906465,2.13%
1987-04-20,315.4130940265343,-2.64%
1987-04-21,328.3765721910248,4.11%
1987-04-22,324.83010521136174,-1.08%
1987-04-23,323.8556148957276,-0.30%
1987-04-24,305.97878495348345,-5.52%
1987-04-27,301.7562777211254,-1.38%
1987-04-28,310.35633163617746,2.85%
1987-04-29,315.2909973091927,1.59%
1987-04-30,328.816981093757,4.29%
1987-05-01,334.14381618747586,1.62%
1987-05-04,337.45183996773187,0.99%
1987-05-05,355.2692971180281,5.28%
1987-05-06,352.71135817877826,-0.72%
1987-05-07,356.73226766201634,1.14%
1987-05-08,358.65862190739125,0.54%
1987-05-11,352.3103642996304,-1.77%
1987-05-12,350.830660769572,-0.42%
1987-05-13,358.19810464573294,2.10%
1987-05-14,360.77713099918225,0.72%
1987-05-15,344.75862638281853,-4.44%
1987-05-18,331.3130399538886,-3.90%
1987-05-19,309.9433488768628,-6.45%
1987-05-20,311.15212793748253,0.39%
1987-05-21,316.0994467716885,1.59%
1987-05-22,310.78897606592415,-1.68%
1987-05-26,328.87689447296094,5.82%
1987-05-27,333.1194064116621,1.29%
1987-05-28,344.7119617547879,3.48%
1987-05-29,348.3314373532132,1.05%
1987-06-01,332.23852494749474,-4.62%
1987-06-02,324.9625012511446,-2.19%
1987-06-03,331.5917362766679,2.04%
1987-06-04,334.17815181962595,0.78%
1987-06-05,331.1705484532493,-0.90%
1987-06-08,341.0063137423108,2.97%
1987-06-09,351.5434088369482,3.09%
1987-06-10,354.6018364938296,0.87%
1987-06-11,352.58060602581475,-0.57%
1987-06-12,356.4942507527013,1.11%
