Nasdaq-composite 2x, 1971-2025
Date, Close-price
1972-06-14,170.868154
1972-06-15,170.452195
1972-06-16,170.426229
1972-06-19,169.076112
1972-06-20,169.877789
1972-06-21,170.681361
1972-06-22,169.148373
1972-06-23,167.674031
1972-06-26,165.330561
1972-06-27,166.557978
1972-06-28,166.018997
1972-06-29,165.429641
1972-06-30,167.296879
1972-07-03,168.608709
1972-07-05,170.390469
1972-07-06,171.896052
1972-07-07,170.957442
1972-07-10,169.267368
1972-07-11,168.284233
1972-07-12,167.355555
1972-07-13,164.577229
1972-07-14,165.470076
1972-07-17,162.963341
1972-07-18,160.780343
1972-07-19,161.360232
1972-07-20,159.642693
1972-07-21,160.999323
1972-07-24,163.875437
1972-07-25,163.111864
1972-07-26,163.568938
1972-07-27,162.831511
1972-07-28,162.298719
1972-07-31,161.285539
1972-08-01,163.053052
1972-08-02,165.439504
1972-08-03,167.792148
1972-08-04,169.414573
1972-08-07,169.492203
1972-08-08,168.560429
1972-08-09,168.921787
1972-08-10,169.154337
1972-08-11,171.326297
1972-08-14,171.378340
1972-08-15,170.805778
1972-08-16,170.753814
1972-08-17,169.273064
1972-08-18,170.669771
1972-08-21,170.306174
1972-08-22,170.306174
1972-08-23,169.813247
1972-08-24,167.999833
1972-08-25,167.767932
1972-08-28,166.377483
1972-08-29,165.531300
1972-08-30,166.400902
1972-08-31,166.836842
1972-09-01,168.762623
1972-09-05,167.807120
1972-09-06,166.004542
1972-09-07,164.928836
1972-09-08,164.724605
1972-09-11,162.504975
1972-09-12,159.768263
1972-09-13,160.597379
1972-09-14,160.773708
1972-09-15,161.000540
1972-09-18,160.849212
1972-09-19,160.370231
1972-09-20,160.596779
1972-09-21,160.067795
1972-09-22,160.470165
1972-09-25,158.858665
1972-09-26,159.484981
1972-09-27,163.200063
1972-09-28,164.672736
1972-09-29,165.896974
1972-10-02,165.103392
1972-10-03,165.563077
1972-10-04,165.077179
1972-10-05,161.808577
1972-10-06,162.111945
1972-10-09,163.073508
1972-10-10,164.367843
1972-10-11,163.221268
1972-10-12,161.443950
1972-10-13,159.726864
1972-10-16,156.411518
1972-10-17,157.803278
1972-10-18,159.350981
1972-10-19,158.999794
1972-10-20,161.731017
1972-10-23,163.398869
1972-10-24,164.033871
1972-10-25,163.982972
1972-10-26,165.204352
1972-10-27,165.612990
1972-10-30,165.433990
1972-10-31,167.427478
1972-11-01,170.898411
1972-11-02,172.275052
1972-11-03,175.456638
1972-11-06,176.088251
1972-11-08,174.717299
1972-11-09,174.087024
1972-11-10,174.873444
1972-11-13,173.953887
1972-11-14,174.294536
1972-11-15,173.114212
1972-11-16,173.558597
1972-11-17,172.799556
1972-11-20,172.251111
1972-11-21,172.433635
1972-11-22,173.216298
1972-11-24,174.602133
1972-11-27,173.420793
1972-11-28,173.787073
1972-11-29,173.839454
1972-11-30,174.441926
1972-12-01,177.013423
1972-12-04,177.542058
1972-12-05,177.912654
1972-12-06,178.972604
1972-12-07,179.982548
1972-12-08,180.222418
1972-12-11,179.368978
1972-12-12,177.879004
1972-12-13,176.262765
1972-12-14,175.392397
1972-12-15,175.918587
1972-12-18,173.310044
1972-12-19,172.917762
1972-12-20,171.716128
1972-12-21,169.503459
1972-12-22,170.020711
1972-12-26,169.761691
1972-12-27,171.702860
1972-12-29,176.388150
1973-01-02,178.762327
1973-01-03,180.754034
1973-01-04,180.914253
1973-01-05,182.169860
1973-01-08,182.464741
1973-01-09,182.384254
1973-01-10,182.572016
1973-01-11,184.665301
1973-01-12,182.425135
1973-01-15,178.642774
1973-01-16,177.129752
1973-01-17,177.235477
1973-01-18,177.949337
1973-01-19,176.704195
1973-01-22,174.803440
1973-01-23,172.939220
1973-01-24,167.846628
1973-01-26,165.968659
1973-01-29,162.643147
1973-01-30,162.035419
1973-01-31,162.490362
1973-02-01,158.795098
1973-02-02,157.644228
1973-02-05,156.447687
1973-02-06,157.118177
1973-02-07,153.932761
1973-02-08,151.420377
1973-02-09,156.037373
1973-02-12,158.566503
1973-02-13,159.341339
1973-02-14,154.906491
1973-02-15,152.460989
1973-02-16,152.755055
1973-02-20,153.883394
1973-02-21,151.273741
1973-02-22,150.614702
1973-02-23,147.351059
1973-02-26,144.773560
1973-02-27,141.263753
1973-02-28,142.702332
1973-03-01,140.616491
1973-03-02,141.981129
1973-03-05,143.021370
1973-03-06,146.248397
1973-03-07,147.136133
1973-03-08,146.727020
1973-03-09,146.438637
1973-03-12,146.126529
1973-03-13,146.678131
1973-03-14,146.702158
1973-03-15,145.500667
1973-03-16,144.591287
1973-03-19,141.537718
1973-03-20,139.932821
1973-03-21,136.717863
1973-03-22,131.615152
1973-03-23,131.114584
1973-03-26,131.273552
1973-03-27,134.341222
1973-03-28,134.915871
1973-03-29,137.334543
1973-03-30,135.638051
1973-04-02,131.781154
1973-04-03,128.776558
1973-04-04,125.221618
1973-04-05,123.291548
1973-04-06,126.043100
1973-04-09,127.689995
1973-04-10,129.481978
1973-04-11,130.564660
1973-04-12,131.244153
1973-04-13,130.403936
1973-04-16,128.887348
1973-04-17,126.839553
1973-04-18,126.995814
1973-04-19,127.978633
1973-04-23,125.444847
1973-04-24,121.471279
1973-04-25,117.408768
1973-04-26,118.160218
1973-04-27,115.317136
1973-04-30,114.146944
1973-05-01,114.379789
1973-05-02,116.689421
1973-05-03,118.315904
1973-05-04,120.643218
1973-05-07,119.751096
1973-05-08,120.162984
1973-05-09,119.880682
1973-05-10,119.403502
1973-05-11,116.762598
1973-05-14,111.111759
1973-05-15,110.443794
1973-05-16,110.360550
1973-05-17,108.467466
1973-05-18,103.724141
1973-05-21,99.429605
1973-05-22,101.067687
1973-05-23,102.062546
1973-05-24,106.421373
1973-05-25,108.258512
1973-05-29,107.599717
1973-05-30,104.192649
1973-05-31,103.081961
1973-06-01,102.399033
1973-06-04,99.336071
1973-06-05,101.189319
1973-06-06,101.169421
1973-06-07,102.900344
1973-06-08,105.207751
1973-06-11,103.828244
1973-06-12,107.355018
1973-06-13,106.412499
1973-06-14,104.841759
1973-06-15,102.209579
1973-06-18,99.231048
1973-06-19,99.605245
1973-06-20,100.059072
1973-06-21,98.496731
1973-06-22,99.654362
1973-06-25,96.575625
1973-06-26,97.605195
1973-06-27,98.112946
1973-06-28,99.953420
1973-06-29,99.597714
1973-07-02,97.960437
1973-07-03,96.591045
1973-07-05,96.474495
1973-07-06,96.649215
1973-07-09,97.679051
1973-07-10,99.964513
1973-07-11,102.948233
1973-07-12,103.910647
1973-07-13,103.628637
1973-07-16,105.519560
1973-07-17,106.879532
1973-07-18,109.187901
1973-07-19,110.736372
1973-07-20,113.148205
1973-07-23,113.295314
1973-07-24,114.430896
1973-07-25,116.332970
1973-07-26,116.290354
1973-07-27,116.695138
1973-07-30,115.670748
1973-07-31,115.160811
1973-08-01,111.959544
1973-08-02,111.646019
1973-08-03,111.312062
1973-08-06,112.124863
1973-08-07,112.313115
1973-08-08,109.863789
1973-08-09,109.905196
1973-08-10,108.186472
1973-08-13,106.193671
1973-08-14,104.646815
1973-08-15,104.161918
1973-08-16,104.081290
1973-08-17,104.887263
1973-08-20,102.783652
1973-08-21,101.682434
1973-08-22,100.129118
1973-08-23,102.480680
1973-08-24,102.220805
1973-08-27,103.239020
1973-08-28,103.399532
1973-08-29,105.005894
1973-08-30,105.410580
1973-08-31,107.194623
1973-09-04,108.482553
1973-09-05,109.572520
1973-09-06,110.254571
1973-09-07,111.622905
1973-09-10,110.016670
1973-09-11,109.022637
1973-09-12,108.115576
1973-09-13,108.669856
1973-09-14,109.637183
1973-09-17,110.050635
1973-09-18,110.112770
1973-09-19,113.448265
1973-09-20,115.235514
1973-09-21,116.718869
1973-09-24,117.209374
1973-09-25,117.444455
1973-09-26,119.198635
1973-09-27,120.599450
1973-09-28,120.447712
