SP-500 3x, 1927-2025
Date,Close
1929-09-12,83.673456
1929-09-13,85.364635
1929-09-16,89.281953
1929-09-17,87.096141
1929-09-18,87.757630
1929-09-19,88.173143
1929-09-20,85.338707
1929-09-23,85.257145
1929-09-24,80.529694
1929-09-25,80.921893
1929-09-26,83.125267
1929-09-27,76.236001
1929-09-30,75.404880
1929-10-01,74.054790
1929-10-02,75.685092
1929-10-03,66.287109
1929-10-04,64.226362
1929-10-07,76.264608
1929-10-08,75.512982
1929-10-09,74.990317
1929-10-10,79.003667
1929-10-11,78.619039
1929-10-14,77.008824
1929-10-15,75.118264
1929-10-16,67.234568
1929-10-17,70.338769
1929-10-18,64.297545
1929-10-21,56.873449
1929-10-22,60.196029
1929-10-23,49.528108
1929-10-24,44.780111
1929-10-25,46.710442
1929-10-28,28.577057
1929-10-29,19.868220
1929-10-30,27.337035
1929-10-31,31.475046
1929-11-04,26.509416
1929-11-06,18.619162
1929-11-07,20.678924
1929-11-08,20.127355
1929-11-11,16.364168
1929-11-12,13.570886
1929-11-13,11.245070
1929-11-14,14.263282
1929-11-15,16.620726
1929-11-18,16.104913
1929-11-19,17.571912
1929-11-20,19.023504
1929-11-21,19.935774
1929-11-22,19.714368
1929-11-25,19.027616
1929-11-26,17.364486
1929-11-27,18.020067
1929-12-02,18.097593
1929-12-03,19.911668
1929-12-04,21.015316
1929-12-05,20.500660
1929-12-06,22.131714
1929-12-09,21.983837
1929-12-10,22.484362
1929-12-11,21.916523
1929-12-12,18.361701
1929-12-13,19.740782
1929-12-16,18.730998
1929-12-17,19.336922
1929-12-18,18.960230
1929-12-19,17.446599
1929-12-20,15.714490
1929-12-23,15.948337
1929-12-24,16.255337
1929-12-26,17.331587
1929-12-27,17.281687
1929-12-30,17.455997
1929-12-31,18.859833
1930-01-02,18.147643
1930-01-03,18.276165
1930-01-06,18.973467
1930-01-07,18.470448
1930-01-08,18.418447
1930-01-09,19.274917
1930-01-10,19.087692
1930-01-13,19.007978
1930-01-14,19.113968
1930-01-15,19.353336
1930-01-16,18.951074
1930-01-17,18.448649
1930-01-20,18.942115
1930-01-21,19.232856
1930-01-22,19.286252
1930-01-23,19.847990
1930-01-24,20.393266
1930-01-27,20.865156
1930-01-28,20.555142
1930-01-29,21.252715
1930-01-30,21.595037
1930-01-31,22.517660
1930-02-03,22.369449
1930-02-04,23.166252
1930-02-05,24.072361
1930-02-06,23.297832
1930-02-07,23.025047
1930-02-10,23.476130
1930-02-11,24.085368
1930-02-13,24.209310
1930-02-14,24.178218
1930-02-17,23.898641
1930-02-18,23.960290
1930-02-19,23.311877
1930-02-20,22.008351
1930-02-21,22.824917
1930-02-24,22.107905
1930-02-25,22.722010
1930-02-26,23.377170
1930-02-27,23.286128
1930-02-28,23.891489
1930-03-03,24.137792
1930-03-04,24.695773
1930-03-05,24.129259
1930-03-06,24.841980
1930-03-07,24.841980
1930-03-10,25.094717
1930-03-11,25.253743
1930-03-12,24.423307
1930-03-13,24.860557
1930-03-14,24.386523
1930-03-17,25.072879
1930-03-18,25.803772
1930-03-19,26.224842
1930-03-20,26.584979
1930-03-21,27.080561
1930-03-24,27.047114
1930-03-25,26.946855
1930-03-26,28.180301
1930-03-27,28.008606
1930-03-28,28.966167
1930-03-31,26.518319
1930-04-01,30.537249
1930-04-02,29.598381
1930-04-03,29.775191
1930-04-04,31.124309
1930-04-07,31.343664
1930-04-08,30.829427
1930-04-09,32.318836
1930-04-10,32.506225
1930-04-11,32.205242
1930-04-14,31.793950
1930-04-15,31.831021
1930-04-16,31.163236
1930-04-17,31.858193
1930-04-21,30.150845
1930-04-22,30.901930
1930-04-23,31.083703
1930-04-24,30.353758
1930-04-25,30.245990
1930-04-28,28.239149
1930-04-29,28.136501
1930-04-30,28.716752
1930-05-01,26.640841
1930-05-02,24.239878
1930-05-05,22.419572
1930-05-06,24.702508
1930-05-07,23.298954
1930-05-08,23.568826
1930-05-09,24.445106
1930-05-12,25.683354
1930-05-13,26.738834
1930-05-14,27.231563
1930-05-15,25.901573
1930-05-16,26.255217
1930-05-19,24.535866
1930-05-20,24.876787
1930-05-21,24.501443
1930-05-22,24.656258
1930-05-23,25.402474
1930-05-26,26.036740
1930-05-27,26.068977
1930-05-28,26.520666
1930-05-29,26.879643
1930-06-02,26.583297
1930-06-03,25.864243
1930-06-04,26.217231
1930-06-05,24.986777
1930-06-06,23.764088
1930-06-09,20.308592
1930-06-10,22.023664
1930-06-11,19.697828
1930-06-12,19.511493
1930-06-13,19.855350
1930-06-16,15.306279
1930-06-17,15.350948
1930-06-18,13.739771
1930-06-19,15.669981
1930-06-20,14.448942
1930-06-23,14.106449
1930-06-24,12.631905
1930-06-25,12.925067
1930-06-26,13.837890
1930-06-27,13.443509
1930-06-30,14.766822
1930-07-01,14.290475
1930-07-02,14.756467
1930-07-03,14.302091
1930-07-07,13.412183
1930-07-08,13.696252
1930-07-09,14.292936
1930-07-10,15.372314
1930-07-11,14.883831
1930-07-14,16.643820
1930-07-15,16.550314
1930-07-16,16.922928
1930-07-17,17.159283
1930-07-18,17.612518
1930-07-21,15.598041
1930-07-22,16.447216
1930-07-23,17.234091
1930-07-24,16.565731
1930-07-25,16.844670
1930-07-28,17.596803
1930-07-29,17.185512
1930-07-30,15.828135
1930-07-31,16.120969
1930-08-01,15.892953
1930-08-04,16.818975
1930-08-05,16.818975
1930-08-06,16.021792
1930-08-07,15.749465
1930-08-08,13.977092
1930-08-11,14.246013
1930-08-12,13.156611
1930-08-13,13.692671
1930-08-14,13.713058
1930-08-15,14.815002
1930-08-18,14.471466
1930-08-19,14.894194
1930-08-20,15.131181
1930-08-21,14.673977
1930-08-22,14.993907
1930-08-25,14.755908
1930-08-26,15.398088
1930-08-27,15.750379
1930-08-28,15.728027
1930-08-29,16.263960
1930-09-02,16.286788
1930-09-03,15.806871
1930-09-04,15.470873
1930-09-05,16.177439
1930-09-08,16.836967
1930-09-09,17.140549
1930-09-10,17.376862
1930-09-11,17.042994
1930-09-12,16.525115
1930-09-15,15.810309
1930-09-16,15.877457
1930-09-17,16.034589
